instance_name,n,p,k,ntoll,seed,method,upper_level_objective,total_time,iterations,objective_value,fail
n5_p27_k1_ntoll23_seed64,5,27,1,23,64,enhanced,nonlinear,0.007290840148925781,0,0.0,
n4_p21_k1_ntoll17_seed81,4,21,1,17,81,consensus,nonlinear,0.001809835433959961,0,0,
n4_p21_k1_ntoll17_seed81,4,21,1,17,81,enhanced,nonlinear,0.0023958683013916016,0,0,
n4_p33_k3_ntoll16_seed50,4,33,3,16,50,consensus,nonlinear,0.0044651031494140625,0,0,
n4_p33_k3_ntoll16_seed50,4,33,3,16,50,enhanced,nonlinear,0.005573749542236328,0,0,
n5_p39_k2_ntoll23_seed33,5,39,2,23,33,consensus,nonlinear,0.0522608757019043,0,0.0,
n5_p39_k2_ntoll23_seed33,5,39,2,23,33,enhanced,nonlinear,0.009216070175170898,0,0.0,
n4_p23_k3_ntoll23_seed97,4,23,3,23,97,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p40_k2_ntoll16_seed38,5,40,2,16,38,consensus,nonlinear,0.004470109939575195,0,0,
n5_p40_k2_ntoll16_seed38,5,40,2,16,38,enhanced,nonlinear,0.0054819583892822266,0,0,
n5_p25_k2_ntoll15_seed93,5,25,2,15,93,consensus,nonlinear,0.05881977081298828,0,0.0,
n5_p25_k2_ntoll15_seed93,5,25,2,15,93,enhanced,nonlinear,0.01665472984313965,0,0.0,
n5_p36_k1_ntoll23_seed14,5,36,1,23,14,unknown,nonlinear,,,,No path exists between 1 and 3
n5_p40_k3_ntoll24_seed26,5,40,3,24,26,consensus,nonlinear,0.07944822311401367,0,0.0,
n5_p40_k3_ntoll24_seed26,5,40,3,24,26,enhanced,nonlinear,0.013211965560913086,0,0.0,
n4_p31_k1_ntoll23_seed100,4,31,1,23,100,consensus,nonlinear,0.029207944869995117,0,0.0,
n4_p31_k1_ntoll23_seed100,4,31,1,23,100,enhanced,nonlinear,0.006379127502441406,0,0.0,
n4_p39_k2_ntoll22_seed3,4,39,2,22,3,consensus,nonlinear,0.003123044967651367,0,0,
n4_p39_k2_ntoll22_seed3,4,39,2,22,3,enhanced,nonlinear,0.0036220550537109375,0,0,
n4_p31_k2_ntoll18_seed8,4,31,2,18,8,consensus,nonlinear,0.0031769275665283203,0,0,
n4_p31_k2_ntoll18_seed8,4,31,2,18,8,enhanced,nonlinear,0.0039691925048828125,0,0,
n4_p38_k1_ntoll16_seed94,4,38,1,16,94,consensus,nonlinear,0.0015609264373779297,0,0,
n4_p38_k1_ntoll16_seed94,4,38,1,16,94,enhanced,nonlinear,0.002061128616333008,0,0,
n5_p22_k3_ntoll17_seed17,5,22,3,17,17,consensus,nonlinear,0.09336018562316895,0,0.0,
n5_p22_k3_ntoll17_seed17,5,22,3,17,17,enhanced,nonlinear,0.03739213943481445,0,0.0,
n5_p37_k1_ntoll19_seed68,5,37,1,19,68,unknown,nonlinear,,,,No path exists between 3 and 5
n5_p26_k3_ntoll18_seed92,5,26,3,18,92,consensus,nonlinear,0.11082696914672852,0,0.0,
n5_p26_k3_ntoll18_seed92,5,26,3,18,92,enhanced,nonlinear,0.024649858474731445,0,0.0,
n5_p32_k3_ntoll25_seed48,5,32,3,25,48,consensus,nonlinear,0.11110615730285645,0,0.0,
n5_p32_k3_ntoll25_seed48,5,32,3,25,48,enhanced,nonlinear,0.022572994232177734,0,0.0,
n5_p36_k2_ntoll16_seed32,5,36,2,16,32,consensus,nonlinear,0.04422402381896973,0,7.250000000000001,
n5_p36_k2_ntoll16_seed32,5,36,2,16,32,enhanced,nonlinear,0.6766788959503174,92,10.05506849637242,
n4_p22_k2_ntoll15_seed76,4,22,2,15,76,consensus,nonlinear,0.0031909942626953125,0,0,
n4_p22_k2_ntoll15_seed76,4,22,2,15,76,enhanced,nonlinear,0.004068851470947266,0,0,
n4_p38_k1_ntoll15_seed10,4,38,1,15,10,consensus,nonlinear,0.0014300346374511719,0,0,
n4_p38_k1_ntoll15_seed10,4,38,1,15,10,enhanced,nonlinear,0.0019321441650390625,0,0,
n4_p27_k1_ntoll15_seed43,4,27,1,15,43,consensus,nonlinear,0.0014312267303466797,0,0,
n4_p27_k1_ntoll15_seed43,4,27,1,15,43,enhanced,nonlinear,0.0020301342010498047,0,0,
n4_p36_k1_ntoll19_seed86,4,36,1,19,86,consensus,nonlinear,0.001438140869140625,0,0,
n4_p36_k1_ntoll19_seed86,4,36,1,19,86,enhanced,nonlinear,0.0019350051879882812,0,0,
n5_p26_k3_ntoll17_seed93,5,26,3,17,93,consensus,nonlinear,0.13613009452819824,0,0.0,
n5_p26_k3_ntoll17_seed93,5,26,3,17,93,enhanced,nonlinear,0.022424936294555664,0,0.0,
n5_p27_k2_ntoll21_seed25,5,27,2,21,25,consensus,nonlinear,0.0826878547668457,0,0.0,
n5_p27_k2_ntoll21_seed25,5,27,2,21,25,enhanced,nonlinear,0.015655994415283203,0,0.0,
n4_p23_k3_ntoll21_seed46,4,23,3,21,46,unknown,nonlinear,,,,Cannot take a larger sample than population when replace is False
n5_p33_k2_ntoll15_seed87,5,33,2,15,87,consensus,nonlinear,0.03545188903808594,1,3.9313118808613634,
n5_p33_k2_ntoll15_seed87,5,33,2,15,87,enhanced,nonlinear,0.7060317993164062,69,9.446061634529936,
n4_p21_k2_ntoll20_seed14,4,21,2,20,14,consensus,nonlinear,0.03302812576293945,1,7.862669505788236,
