"total_time","ecdf_value"
2703.45245245245,34.0625
2714.26226226226,34.0625
2725.07207207207,34.0625
2735.88188188188,34.0625
2746.69169169169,34.0625
2757.5015015015,34.0625
2768.31131131131,34.0625
2779.12112112112,34.0625
2789.93093093093,34.0625
2800.74074074074,34.0625
2811.55055055055,34.0625
2822.36036036036,34.0625
2833.17017017017,34.0625
2843.97997997998,34.0625
2854.78978978979,34.0625
2865.5995995996,34.0625
2876.40940940941,34.0625
2887.21921921922,34.0625
2898.02902902903,34.375
2908.83883883884,34.375
2919.64864864865,34.375
2930.45845845846,34.375
2941.26826826827,34.375
2952.07807807808,34.375
2962.88788788789,34.375
2973.6976976977,34.375
2984.50750750751,34.375
2995.31731731732,34.375
3006.12712712713,34.375
3016.93693693694,34.375
3027.74674674675,34.375
3038.55655655656,34.375
3049.36636636637,34.375
3060.17617617618,34.375
3070.98598598599,34.375
3081.7957957958,34.375
3092.60560560561,34.375
3103.41541541542,34.375
3114.22522522523,34.6875
3125.03503503503,34.6875
3135.84484484484,35
3146.65465465465,35
3157.46446446446,35
3168.27427427427,35
3179.08408408408,35
3189.89389389389,35
3200.7037037037,35
3211.51351351351,35
3222.32332332332,35
3233.13313313313,35
3243.94294294294,35
3254.75275275275,35
3265.56256256256,35
3276.37237237237,35
3287.18218218218,35
3297.99199199199,35
3308.8018018018,35
3319.61161161161,35.3125
3330.42142142142,35.3125
3341.23123123123,35.3125
3352.04104104104,35.3125
3362.85085085085,35.3125
3373.66066066066,35.3125
3384.47047047047,35.3125
3395.28028028028,35.3125
3406.09009009009,35.3125
3416.8998998999,35.3125
3427.70970970971,35.3125
3438.51951951952,35.3125
3449.32932932933,35.3125
3460.13913913914,35.3125
3470.94894894895,35.3125
3481.75875875876,35.3125
3492.56856856857,35.3125
3503.37837837838,35.3125
3514.18818818819,35.3125
3524.997997998,35.3125
3535.80780780781,35.3125
3546.61761761762,35.3125
3557.42742742743,35.3125
3568.23723723724,35.3125
3579.04704704705,35.3125
3589.85685685686,35.3125
3600.66666666667,35.3125
3611.47647647648,35.3125
3622.28628628629,35.3125
3633.0960960961,35.3125
3643.90590590591,35.3125
3654.71571571572,35.3125
3665.52552552553,35.3125
3676.33533533534,35.625
3687.14514514515,35.625
3697.95495495496,35.625
3708.76476476477,35.625
3719.57457457457,35.625
3730.38438438438,35.625
3741.19419419419,35.625
3752.004004004,35.625
3762.81381381381,35.625
3773.62362362362,35.625
3784.43343343343,35.625
3795.24324324324,35.625
3806.05305305305,35.9375
3816.86286286286,35.9375
3827.67267267267,36.25
3838.48248248248,36.25
3849.29229229229,36.25
3860.1021021021,36.25
3870.91191191191,36.25
3881.72172172172,36.25
3892.53153153153,36.25
3903.34134134134,36.25
3914.15115115115,36.25
3924.96096096096,36.25
3935.77077077077,36.25
3946.58058058058,36.25
3957.39039039039,36.25
3968.2002002002,36.25
3979.01001001001,36.25
3989.81981981982,36.25
4000.62962962963,36.25
4011.43943943944,36.5625
4022.24924924925,36.5625
4033.05905905906,36.5625
4043.86886886887,36.5625
4054.67867867868,36.5625
4065.48848848849,36.875
4076.2982982983,36.875
4087.10810810811,36.875
4097.91791791792,36.875
4108.72772772773,37.1875
4119.53753753754,37.1875
4130.34734734735,37.1875
4141.15715715716,37.1875
4151.96696696697,37.1875
4162.77677677678,37.1875
4173.58658658659,37.1875
4184.3963963964,37.1875
4195.20620620621,37.1875
4206.01601601602,37.5
4216.82582582583,37.5
4227.63563563564,37.5
4238.44544544545,37.5
4249.25525525526,37.5
4260.06506506507,37.5
4270.87487487487,37.5
4281.68468468468,37.5
4292.49449449449,37.5
4303.3043043043,37.5
4314.11411411411,37.5
4324.92392392392,37.5
4335.73373373373,37.5
4346.54354354354,37.5
4357.35335335335,37.5
4368.16316316316,37.5
4378.97297297297,37.5
4389.78278278278,37.5
4400.59259259259,37.5
4411.4024024024,37.5
4422.21221221221,37.5
4433.02202202202,37.5
4443.83183183183,37.5
4454.64164164164,37.5
4465.45145145145,37.5
4476.26126126126,37.5
4487.07107107107,37.5
