instance,method,time,best_obj
OR5x500-0.25_2.dat-50,MibS-First,179.0,114348.0
p2756-0.900000,MibS-First,3600,1e+20
OR30x500-0.25_2.dat-50,MibS-First,3600,1e+20
OR30x500-0.25_3.dat-100,MibS-First,35.0,127974.0
normalClique50-70-6,MibS-First,0.0,11.0
co-100_100_0,MibS-First,3600,1e+20
normalClique50-70-7,MibS-First,0.0,11.0
50v-10_0_100,MibS-First,3600,1e+20
drayage-25-23_0_100,MibS-First,3600,1e+20
K5050W16.KNP,MibS-First,0.0,10075.0
OR10x500-0.75_8.dat-50,MibS-First,3600,1e+20
OR5x250-0.25_10.dat-100,MibS-First,7.0,61847.0
OR5x100-0.50_9.dat-50,MibS-First,1.0,45120.0
weish04.dat-100,MibS-First,0.0,3998.0
OR10x500-0.50_5.dat-0,MibS-First,3600,1e+20
seymour1_50_50,MibS-First,3600,1e+20
tree-80_3-3-1_002,MibS-First,0.0,76.0
OR10x250-0.75_5.dat-100,MibS-First,17.0,52956.0
OR10x100-0.50_3.dat-0,MibS-First,850.0,36743.0
air04-0.500000,MibS-First,3600,1e+20
bmilplib_10_9,MibS-First,0.0,-79.0
OR5x250-0.50_1.dat-50,MibS-First,45.0,96433.0
interKP-300-100-1-3,MibS-First,11.0,5973.0
interKP-100-100-1-6,MibS-First,2.0,2197.0
bmilplib_10_8,MibS-First,0.0,-7.4186
neos-5093327-huahum_0_100,MibS-First,3600,1e+20
OR10x500-0.50_5.dat-100,MibS-First,76.0,149914.0
interKP-100-100-1-7,MibS-First,2.0,2323.0
interKP-300-100-1-2,MibS-First,8.0,5247.0
neos-4300652-rahue_100_0,MibS-First,3600,1e+20
OR10x250-0.50_5.dat-0,MibS-First,3600,1e+20
K5050W11.KNP,MibS-First,1.0,10100.0
OR30x250-0.25_9.dat-100,MibS-First,6.0,65165.0
OR10x250-0.50_2.dat-50,MibS-First,3600,1e+20
drayage-100-23_100_0,MibS-First,3600,1e+20
BCPIns_15_7_7.txt_trad.txt_K19,MibS-First,0.0,6.0
OR5x100-0.25_4.dat-0,MibS-First,50.0,22580.0
eil33-2_50_50,MibS-First,3600,1e+20
neos-4738912-atrato_0_100,MibS-First,3600,1e+20
OR10x100-0.25_9.dat-100,MibS-First,2.0,23084.0
OR5x250-0.25_2.dat-0,MibS-First,1675.0,56728.0
plusBCPIns_12_7_2,MibS-First,0.0,6.0
OR5x250-0.25_10.dat-50,MibS-First,38.0,55473.0
plusBCPIns_12_7_3,MibS-First,0.0,6.0
OR10x250-0.25_9.dat-50,MibS-First,3425.0,58688.0
general20-30-10-20-20-4,MibS-First,0.0,399853.0
bmilplib_310_5,MibS-First,1.0,-58.8258
interKP-400-100-3-6,MibS-First,31.0,12977.0
OR5x100-0.75_3.dat-0,MibS-First,9.0,22808.0
square47_0_100,MibS-First,3600,1e+20
BCPIns_12_7_8.txt_trad.txt_K12,MibS-First,0.0,6.0
bmilplib_310_4,MibS-First,0.0,-76.2308
interKP-400-100-3-7,MibS-First,35.0,15083.0
general20-30-10-20-20-5,MibS-First,0.0,199809.0
pb2.dat-100,MibS-First,0.0,3654.0
OR30x250-0.75_3.dat-50,MibS-First,3600,1e+20
satellites2-60-fs_0_100,MibS-First,3600,1e+20
OR5x250-0.75_5.dat-0,MibS-First,473.0,56660.0
neos-631710_0_100,MibS-First,3600,1e+20
neos-1582420_50_50,MibS-First,3600,1e+20
K5020W01.KNP,MibS-First,0.0,5370.0
OR30x100-0.75_5.dat-100,MibS-First,2.0,23058.0
general20-30-20-20-20-3,MibS-First,0.0,599854.0
rndgraph-25_3-3-3_004,MibS-First,0.0,21.0
general20-30-20-20-20-2,MibS-First,0.0,299849.0
OR5x100-0.25_2.dat-50,MibS-First,3.0,24077.0
rndgraph-25_3-3-3_005,MibS-First,0.0,19.0
plusBCPIns_15_7_2,MibS-First,0.0,6.0
pb7.dat-50,MibS-First,0.0,870.0
OR5x500-0.75_5.dat-0,MibS-First,3240.0,302044.0
plusBCPIns_15_7_3,MibS-First,0.0,6.0
neos-686190_50_50,MibS-First,3600,1e+20
xuLarge1000-9,MibS-First,20.0,-67.4193
bmilplib_410_5,MibS-First,0.0,-95.0
xuLarge1000-8,MibS-First,19.0,-21.6745
bmilplib_410_4,MibS-First,1.0,-119.5
interKP-200-100-2-3,MibS-First,0.0,3224.0
OR5x500-0.25_2.dat-0,MibS-First,3600,1e+20
interKP-200-100-2-2,MibS-First,0.0,2217.0
K5020W06.KNP,MibS-First,0.0,4148.0
OR10x100-0.25_1.dat-50,MibS-First,74.0,23483.0
OR30x500-0.50_9.dat-50,MibS-First,3600,1e+20
K5010W11.KNP,MibS-First,0.0,2280.0
OR10x100-0.25_6.dat-50,MibS-First,6.0,25311.0
BCPIns_12_9_7.txt_trad.txt_K15,MibS-First,0.0,7.0
