architecture,instance,method,warm_start,time,objective,status,success
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUQuadratic,nows,2.6482,8.193612383,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUQuadratic,ws,2.8293,8.193612383,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUSOS1,nows,3.1643,8.193612383,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,gurobi_ReLUSOS1,ws,3.4203,8.193612383,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,ipopt_ReLUQuadratic,nows,299.1374,9.764685588,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,12216,ipopt_ReLUQuadratic,ws,299.6206,20.13843004,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUBigM,nows,1.4935,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUBigM,ws,1.2313,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUQuadratic,nows,2.2597,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUQuadratic,ws,2.1661,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUSOS1,nows,3.2815,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,gurobi_ReLUSOS1,ws,2.9913,12.12273503,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,ipopt_ReLUQuadratic,nows,299.4822,12.1227333,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,25303,ipopt_ReLUQuadratic,ws,299.6017,12.95807899,UNKNOWN_STATUS_LOCALLY_SOLVED,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,27143,gurobi_ReLUBigM,nows,2.1742,10.04044479,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,27143,gurobi_ReLUBigM,ws,1.9013,10.04044479,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,27143,gurobi_ReLUQuadratic,nows,2.4357,10.04044479,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,27143,gurobi_ReLUQuadratic,ws,2.0121,10.04044479,OPTIMAL,TRUE
mnist_1layer_20hidden_acc95.1_delta_5,27143,gurobi_ReLUSOS1,nows,3.0455,10.04044479,OPTIMAL,TRUE
