result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__1.txt,inf,STD,Infeasible,        -,1,7,10803,10800.3,2.60807,1e+20,-393,2.54453e+19,1e+20,,0,15,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__7.txt,120.000000,CG,   Optimal,   Proved,1,11,10800.39,10758.99,41.15,-4031.00,-2594.00,55.40,1437.00,,1,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__1.txt,120.000000,CG,   Optimal,   Proved,0,4,12.8336,6.45265,6.32915,-3445,-3445,2.64004e-14,9.09495e-13,,0,10,30,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__3.txt,120.000000,CG,   Optimal,   Proved,1,9,676.25,662.21,13.91,-4206.00,-4206.00,0.00,0.00,,1,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R300__5.txt,120.000000,CG,   Optimal,   Proved,1,6,10800.33,10794.40,5.76,-3482.00,-3211.00,8.44,271.00,,0,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__7.txt,60.000000,CG,   Optimal,   Proved,0,8,22.8337,22.3115,0.395069,0,0,0,0,,1,10,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__5.txt,60.000000,CG,   Optimal,   Proved,1,15,5228.29,5202.15,25.90,-2960.00,-2960.00,0.00,0.00,,1,15,20,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__3.txt,60.000000,CG,   Optimal,   Proved,1,7,10800.28,10795.75,4.35,-2637.00,-1364.00,93.33,1273.00,,0,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__4.txt,60.000000,CG,   Optimal,   Proved,0,8,4.03285,3.30172,0.60992,-1,-1,0,0,,0,10,40,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__1.txt,60.000000,CG,   Optimal,   Proved,0,11,2.2185,1.55089,0.574864,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__0.txt,inf,STD,Infeasible,        -,1,5,10802.6,10801.1,1.42336,1e+20,-3179,3.14564e+18,1e+20,,0,15,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__5.txt,120.000000,CG,   Optimal,   Proved,1,9,431.70,406.35,25.21,-1998.00,-1998.00,0.00,0.00,,1,10,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__5.txt,120.000000,CG,   Optimal,   Proved,1,10,10800.02,10774.62,25.18,-1996.00,-1429.00,39.68,567.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__3.txt,60.000000,CG,   Optimal,   Proved,0,6,2.54906,2.29748,0.206378,0,0,0,0,,1,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__1.txt,120.000000,CG,   Optimal,   Proved,1,6,10800.22,10792.95,7.14,0.00,0.00,0.00,0.00,,0,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__5.txt,60.000000,CG,   Optimal,   Proved,1,5,10800.20,10771.53,28.55,-3450.00,-2912.00,18.48,538.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__5.txt,120.000000,CG,   Optimal,   Proved,1,18,2958.56,2944.22,14.04,-2617.00,-2617.00,0.00,0.00,,1,10,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__3.txt,60.000000,CG,   Optimal,   Proved,1,10,6246.15,6192.27,53.62,-3896.00,-3896.00,0.00,0.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__2.txt,120.000000,CG,   Optimal,   Proved,0,10,51.3116,43.7996,7.35523,-2165,-2165,8.4018e-14,1.81899e-12,,0,10,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__8.txt,120.000000,CG,   Optimal,   Proved,1,7,6430.60,6079.69,350.68,-8599.00,-8599.00,0.00,0.00,,1,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__2.txt,60.000000,CG,   Optimal,   Proved,1,9,10800.36,10787.44,12.69,-1975.00,-913.00,116.32,1062.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__0.txt,60.000000,CG,   Optimal,   Proved,0,3,0.252046,0.11723,0.107867,0,0,0,0,,1,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__0.txt,120.000000,CG,   Optimal,   Proved,0,15,106.411,105.474,0.805782,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R300__2.txt,60.000000,CG,   Optimal,   Proved,1,13,6677.75,6658.58,18.79,-3712.00,-3712.00,0.00,0.00,,1,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R300__0.txt,60.000000,CG,   Optimal,   Proved,1,7,10800.36,10740.65,59.51,-2519.00,-2519.00,0.00,0.00,,0,15,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__8.txt,120.000000,CG,   Optimal,   Proved,0,13,42.9488,41.2663,1.56898,-78,-78,9.32815e-12,7.27596e-12,,1,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__5.txt,120.000000,CG,   Optimal,   Proved,0,9,18.1003,17.3854,0.645242,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__3.txt,60.000000,CG,   Optimal,   Proved,1,9,954.26,940.33,13.80,-4206.00,-4206.00,0.00,0.00,,0,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__4.txt,60.000000,CG,   Optimal,   Proved,1,11,10800.42,10798.31,1.86,-1287.00,0.00,1287000000000000.00,1287.00,,0,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__7.txt,60.000000,CG,   Optimal,   Proved,1,12,10800.47,10797.86,2.32,-602.00,0.00,602000000000000.00,602.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__4.txt,60.000000,CG,   Optimal,   Proved,1,4,5513.55,5449.43,64.03,-6759.00,-6758.00,0.01,1.00,,0,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R300__7.txt,60.000000,CG,   Optimal,   Proved,1,8,10800.44,10755.18,44.95,-4293.00,-2225.00,92.94,2068.00,,1,15,40,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__4.txt,60.000000,CG,   Optimal,   Proved,1,8,618.47,572.59,45.76,-2365.00,-2365.00,0.00,0.00,,0,10,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__3.txt,inf,STD,   Optimal,   Proved,0,13,222.679,219.936,2.58853,-942,-942,0,0,,0,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__5.txt,60.000000,CG,   Optimal,   Proved,1,9,927.79,903.50,24.14,-1998.00,-1998.00,0.00,0.00,,0,10,30,4.00,
