instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r10_d5_3.txt,2,colgen-ext,10,7,0,1.676,166.000,1,Optimal,0.00000,default
instance_n5_r10_d10_2.txt,2,colgen-ext,5,1,0,0.026,14.000,1,Optimal,0.00000,default
instance_n15_r10_d5_2.txt,2,colgen-ext,15,6,0,7.136,361.000,1,Optimal,0.00000,default
instance_n5_r30_d20_1.txt,2,colgen-ext,5,1,0,0.011,17.000,1,Optimal,0.00000,default
instance_n15_r10_d10_3.txt,2,colgen-ext,15,8,0,8.897,373.000,1,Optimal,0.00000,default
instance_n10_r20_d30_0.txt,2,colgen-ext,10,2,0,36.059,136.326,2,Optimal,0.00000,default
instance_n5_r5_d30_2.txt,2,colgen-ext,5,1,0,0.152,107.000,1,Optimal,0.00000,default
instance_n10_r5_d5_3.txt,2,colgen-ext,10,4,0,4.431,297.000,1,Optimal,0.00000,default
instance_n10_r20_d30_2.txt,2,colgen-ext,10,5,0,92.797,151.991,6,Optimal,0.00000,default
instance_n10_r10_d10_2.txt,2,colgen-ext,10,7,0,2.251,171.000,1,Optimal,0.00000,default
instance_n15_r30_d30_4.txt,2,colgen-ext,15,9,0,14.647,108.000,1,Optimal,0.00000,default
instance_n10_r5_d5_1.txt,2,colgen-ext,10,3,0,2.133,248.000,1,Optimal,0.00000,default
instance_n15_r30_d5_3.txt,2,colgen-ext,15,6,0,2.499,311.000,1,Optimal,0.00000,default
instance_n10_r30_d5_2.txt,2,colgen-ext,10,7,0,1.904,207.000,1,Optimal,0.00000,default
instance_n10_r20_d5_1.txt,2,colgen-ext,10,1,0,1.044,244.000,2,Optimal,0.00000,default
instance_n10_r30_d10_0.txt,2,colgen-ext,10,4,0,2.356,168.000,1,Optimal,0.00000,default
instance_n10_r20_d5_3.txt,2,colgen-ext,10,6,0,2.308,223.000,1,Optimal,0.00000,default
instance_n15_r20_d5_2.txt,2,colgen-ext,15,7,0,10.161,212.000,1,Optimal,0.00000,default
instance_n15_r30_d5_1.txt,2,colgen-ext,15,1,0,2.118,254.000,2,Optimal,0.00000,default
instance_n15_r20_d20_0.txt,2,colgen-ext,15,7,0,12.400,248.000,1,Optimal,0.00000,default
instance_n5_r10_d5_0.txt,2,colgen-ext,5,3,0,0.015,60.000,1,Optimal,0.00000,default
instance_n5_r10_d20_3.txt,2,colgen-ext,5,2,0,0.766,92.000,1,Optimal,0.00000,default
instance_n10_r30_d10_2.txt,2,colgen-ext,10,3,0,0.873,104.000,1,Optimal,0.00000,default
instance_n15_r5_d30_0.txt,2,colgen-ext,15,4,0,540.184,243.440,7,Optimal,0.00000,default
instance_n10_r5_d30_1.txt,2,colgen-ext,10,5,0,337.300,165.000,1,Optimal,0.00000,default
instance_n10_r10_d20_1.txt,2,colgen-ext,10,3,0,24.922,197.000,1,Optimal,0.00000,default
instance_n5_r30_d10_0.txt,2,colgen-ext,5,2,0,0.978,75.000,1,Optimal,0.00000,default
instance_n10_r10_d20_3.txt,2,colgen-ext,10,4,0,2.242,156.000,1,Optimal,0.00000,default
instance_n15_r20_d30_4.txt,2,colgen-ext,15,6,0,169.602,142.000,1,Optimal,0.00000,default
instance_n10_r5_d30_3.txt,2,colgen-ext,10,2,0,228.629,160.520,4,Optimal,0.00000,default
instance_n15_r10_d10_4.txt,2,colgen-ext,15,4,0,71.621,249.000,1,Optimal,0.00000,default
instance_n15_r30_d10_0.txt,2,colgen-ext,15,1,0,6.808,168.390,4,Optimal,0.00000,default
instance_n5_r20_d5_4.txt,2,colgen-ext,5,3,0,0.208,52.000,1,Optimal,0.00000,default
instance_n15_r30_d20_4.txt,2,colgen-ext,15,9,0,43.761,159.000,1,Optimal,0.00000,default
instance_n10_r5_d10_2.txt,2,colgen-ext,10,1,0,9.703,253.500,2,Optimal,0.00000,default
instance_n10_r20_d20_2.txt,2,colgen-ext,10,5,0,2.376,112.000,1,Optimal,0.00000,default
instance_n15_r30_d10_2.txt,2,colgen-ext,15,6,0,7.764,250.000,1,Optimal,0.00000,default
instance_n10_r5_d10_0.txt,2,colgen-ext,10,6,0,7.072,129.000,1,Optimal,0.00000,default
instance_n15_r5_d10_1.txt,2,colgen-ext,15,7,0,126.451,187.000,1,Optimal,0.00000,default
instance_n5_r5_d20_2.txt,2,colgen-ext,5,1,0,2.851,76.000,1,Optimal,0.00000,default
instance_n10_r20_d20_0.txt,2,colgen-ext,10,2,0,36.463,114.767,2,Optimal,0.00000,default
instance_n5_r30_d30_1.txt,2,colgen-ext,5,1,0,0.106,72.000,1,Optimal,0.00000,default
instance_n15_r30_d30_0.txt,2,colgen-ext,15,8,0,309.010,172.000,1,Optimal,0.00000,default
instance_n5_r20_d20_2.txt,2,colgen-ext,5,3,0,0.781,150.000,1,Optimal,0.00000,default
instance_n15_r10_d20_1.txt,2,colgen-ext,15,6,0,7.069,219.000,1,Optimal,0.00000,default
instance_n10_r10_d10_4.txt,2,colgen-ext,10,1,0,29.213,109.616,2,Optimal,0.00000,default
instance_n10_r30_d30_1.txt,2,colgen-ext,10,7,0,5.531,171.000,1,Optimal,0.00000,default
instance_n15_r10_d20_3.txt,2,colgen-ext,15,1,0,67.921,164.000,1,Optimal,0.00000,default
